Landcat,Area_2010_m2,Area_2011_m2,Area_2012_m2,Area_2013_m2,Area_2014_m2,Area_2015_m2,Area_2016_m2,Area_2017_m2,Area_2018_m2,Area_2019_m2,Area_2020_m2,Area_2021_m2,Area_2022_m2,Area_2023_m2,Area_2024_m2,Area_2025_m2,Area_2026_m2,Area_2027_m2,Area_2028_m2,Area_2029_m2,Area_2030_m2,Area_2031_m2,Area_2032_m2,Area_2033_m2,Area_2034_m2,Area_2035_m2,Area_2036_m2,Area_2037_m2,Area_2038_m2,Area_2039_m2,Area_2040_m2,Area_2041_m2,Area_2042_m2,Area_2043_m2,Area_2044_m2,Area_2045_m2,Area_2046_m2,Area_2047_m2,Area_2048_m2,Area_2049_m2,Area_2050_m2
106007,7680411.055,5645743.687,6640164.45,804625.4024,191322.8887,-3512550.76,-8749298.81,-3341849.5,-4581820.397,-2507437.3,-8594254.713,-13769137.88,-3209336.441,-2099205.428,-7983625.373,-5941320.365,1821195.322,-9796801.173,-11136825.16,-12225952.66,-13779066.81,-8546137.579,-9018907.512,-9641757.076,-18499892.26,-17726963.06,-8501075.502,-4354218.717,-18573977.37,-14338142.08,-11275830.21,-19469872.57,-19484384.09,-10665200.87,-5228728.528,1569916.957,-15872544.01,-9508480.253,-11747454.5,-10220690.21,-16586663.37
106008,0,0,0,0,-20276.96959,0,6336.552997,-226848.5973,-23065.05291,94287.9086,30922.37863,260812.5214,0,-24332.36351,-9124.636316,-171593.8552,150809.9613,-11405.79539,-342427.324,-112790.6433,-382727.801,-18249.27263,-254222.5062,-138643.7796,245097.8699,41314.32554,-13433.49235,-168045.3855,-129012.219,103666.007,-127491.4463,0,-33710.46194,-254222.5062,-422014.4296,100624.4616,-75278.2496,-93020.598,0,0,200235.0747
106009,12652.63073,0,0,0,1247.442466,0,0,0,0,0,3742.327399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20850.10979,0,0,27800.14639,0,0,0,0,0,32968.12232,0
107001,28342.1849,0,0,-13081.00841,0,-16242.25211,0,0,0,0,10791.83194,30631.36137,0,13081.00841,0,0,0,0,0,-40006.08406,83500.43704,-24417.88237,-21692.67229,7303.563031,-31285.41179,25398.958,-75433.81518,8720.672276,67258.18493,0,-4469.344541,-66059.09249,0,0,-8720.672276,-62461.81517,40006.08406,-67149.17652,-21365.64708,-31503.4286,-17332.33615
107002,0,0,0,-25511.96641,0,-69148.59584,0,0,-49993.14631,14431.0113,-6442.415761,0,0,61074.10141,-9362.977573,0,0,-85125.78692,0,-97581.12406,-13400.22478,-33758.25859,-343.5955073,0,-57208.65196,-5841.123623,-151096.1243,0,-65197.2475,-1632.078659,-3779.55058,0,-5583.426993,-17695.16862,-1288.483152,-53858.59576,0,51625.22497,0,257.6966304,-9964.26971
107003,-3707.27106,7013.75606,-21241.66121,-30058.95454,-300.5895454,-45689.6109,-6412.576969,-87271.16469,-106709.2886,2404.716363,-99595.33605,6913.559545,-127550.1638,-10420.43757,-41080.57121,-205202.463,-24447.94969,4308.450151,-97891.99529,-92681.7765,-163420.5162,85367.4309,-78954.85393,-10320.24106,-106709.2886,-113923.4377,-85567.82393,-117129.7262,11522.59924,-109715.1841,-57212.21014,-99895.92559,-164522.6779,-334055.1815,-113823.2412,17634.58666,-223137.6392,-250892.0739,-163220.1232,-2805.502424,-82461.73196
107004,-55164.85012,-31961.09509,-8437.729103,33878.76079,-126374.17,-196752.5014,-22564.53313,-66926.53312,-187483.7838,-19815.87895,-229097.1296,-227307.3083,-55676.22764,-184799.0518,-18665.27953,1534.132564,-144208.461,-173740.5129,-42700.02304,-154052.4783,-146765.3486,-97800.95097,-17706.44668,-58680.57058,-84569.0576,-66223.38902,-78816.06049,-82012.17,-122602.7608,-65328.47836,-92239.72043,-87253.78959,-166645.1498,-20582.94524,-47558.10949,-22884.14408,-38545.08068,-55867.99421,-65392.40055,-97481.34002,-194067.7694
107005,0,0,0,0,0,-76487.85892,0,0,0,-182694.9268,-4692.506682,-42701.81081,0,0,0,-76487.85892,0,-51461.15661,0,0,-119502.5035,0,0,-155478.3881,0,-93537.29987,-147501.1267,0,0,-43014.64459,0,-30501.29343,-160170.8948,-93537.29987,0,0,0,0,0,0,0
107006,10739.11963,0,0,0,3977.451714,-331.4543095,0,-25057.9458,-17301.91496,0,0,-14583.98962,-861.7812048,0,-3248.252233,23599.54684,-23997.29201,0,-8352.6486,11667.1917,0,0,0,23864.71029,-265.1634476,0,-6363.922743,-198.8725857,31952.19544,0,-54756.25193,0,0,-265.1634476,596.6177572,-265.1634476,-4640.360333,-5568.4324,0,0,-4242.615162
107007,2258982.617,1660540.922,1953022.561,236658.531,56272.38918,-1033120.63,-2573366.684,-982913.5284,-1347617.017,-737494.0267,-2527764.708,-4049814.899,-943938.4405,-617423.7991,-2348164.807,-1747476.708,535654.7385,-2881460.823,-3275592.187,-3595929.221,-4052735.223,-2513612.37,-2652664.701,-2835858.846,-5441236.77,-5213900.81,-2500358.594,-1280674.214,-5463026.876,-4217171.905,-3316476.717,-5726529.92,-5730798.086,-3136876.817,-1537887.331,461748.0877,-4668474.22,-2796659.118,-3455192.088,-3006136.176,-4878512.878
107008,0,0,0,0,-7348.421715,0,2296.381786,-82210.46794,-8358.829701,34170.16098,11206.34312,94519.07431,0,-8818.106058,-3306.789772,-62186.01877,54653.88651,-4133.487215,-124096.4717,-40875.59579,-138701.4599,-6613.579544,-92130.83726,-50244.83348,88824.04748,14972.40924,-4868.329386,-60900.04497,-46754.33316,37568.80602,-46203.20153,0,-12216.7511,-92130.83726,-152939.0269,36466.54276,-27281.01562,-33710.88462,0,0,72565.66444
107009,12385.40483,0,0,0,1221.096251,0,0,0,0,0,3663.288753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20409.75163,0,0,27213.00217,0,0,0,0,0,32271.82949,0
108001,12590.98448,0,0,-5811.223605,0,-7215.602643,0,0,0,0,4794.259474,13607.94861,0,5811.223605,0,0,0,0,0,-17772.65886,37094.97735,-10847.6174,-9636.945812,3244.599846,-13898.50979,11283.45917,-33511.38946,3874.14907,29879.3747,0,-1985.501398,-29346.67921,0,0,-3874.14907,-27748.59271,17772.65886,-29830.94784,-9491.665221,-13995.36352,-7699.871277
108002,0,0,0,-56006.93671,0,-151803.3133,0,0,-109750.9669,31680.69147,-14143.16584,0,0,134077.2121,-20554.73435,0,0,-186878.3646,0,-214221.8185,-29417.78494,-74110.18898,-754.3021779,0,-125591.3126,-12823.13702,-331704.3827,0,-143128.8383,-3582.935345,-8297.323957,0,-12257.41039,-38846.56216,-2828.633167,-118236.8664,0,113333.9022,0,565.7266335,-21874.76316
108003,-8751.381504,16556.66771,-50143.05078,-70957.14733,-709.5714732,-107854.8639,-15137.52476,-206012.2511,-251897.873,5676.571786,-235104.6815,16320.14389,-301094.8285,-24598.47774,-96974.76802,-484400.7924,-57711.81316,10170.52445,-231083.7765,-218784.5376,-385770.3576,201518.2984,-186380.7737,-24361.95392,-251897.873,-268927.5884,-201991.3461,-276496.3508,27200.23981,-258993.5878,-135055.1038,-235814.253,-388372.1197,-788570.4307,-268691.0646,41628.1931,-526738.557,-592255.6564,-385297.31,-6622.667084,-194659.1075
