Land_Cat_ID,Region_ID,Region,Land_Type_ID,Land_Type,Ownership_ID,Ownership,Area_sqm
508009,5,Eastside,80,Woodland,9,USFS_nonwild,2363728500
509001,5,Eastside,90,Forest,1,BLM,97686900
509003,5,Eastside,90,Forest,3,Easement,49654800
509004,5,Eastside,90,Forest,4,Local_gov,5946300
509005,5,Eastside,90,Forest,5,NPS,3600
509006,5,Eastside,90,Forest,6,Other_fed,152497800
509007,5,Eastside,90,Forest,7,Private,464923800
509008,5,Eastside,90,Forest,8,State_gov,7970400
509009,5,Eastside,90,Forest,9,USFS_nonwild,929304900
510001,5,Eastside,100,Meadow,1,BLM,123503400
510002,5,Eastside,100,Meadow,2,DoD,5252400
510003,5,Eastside,100,Meadow,3,Easement,16207200
510004,5,Eastside,100,Meadow,4,Local_gov,32711400
510006,5,Eastside,100,Meadow,6,Other_fed,10157400
510007,5,Eastside,100,Meadow,7,Private,53713800
510008,5,Eastside,100,Meadow,8,State_gov,12462300
510009,5,Eastside,100,Meadow,9,USFS_nonwild,49142700
513001,5,Eastside,130,Cultivated,1,BLM,4435200
513002,5,Eastside,130,Cultivated,2,DoD,210600
