"reg_code","Region","lt_code","Land_Type","own_code","Ownership","cnty_code","County","area_ac"
"1","Central_Coast","30","Sparse","9","USFS_nonwild","40","San Luis Obispo",176.581506573843
"1","Central_Coast","30","Sparse","9","USFS_nonwild","42","Santa Barbara",670.075666633489
"1","Central_Coast","30","Sparse","9","USFS_nonwild","56","Ventura",121.205190280535
"1","Central_Coast","40","Desert","1","BLM","7","Contra Costa",2.89113297916872
"1","Central_Coast","40","Desert","1","BLM","10","Fresno",15672.6094852291
"1","Central_Coast","40","Desert","1","BLM","15","Kern",3565.43414784869
"1","Central_Coast","40","Desert","1","BLM","16","Kings",2759.69762603882
"1","Central_Coast","40","Desert","1","BLM","24","Merced",775.046033261768
"1","Central_Coast","40","Desert","1","BLM","27","Monterey",1789.38891926089
"1","Central_Coast","40","Desert","1","BLM","35","San Benito",4166.34501782668
"1","Central_Coast","40","Desert","1","BLM","40","San Luis Obispo",30325.0938185007
"1","Central_Coast","40","Desert","1","BLM","42","Santa Barbara",512.620116691069
"1","Central_Coast","40","Desert","1","BLM","43","Santa Clara",18.0139824086666
"1","Central_Coast","40","Desert","1","BLM","50","Stanislaus",23.1290638333498
"1","Central_Coast","40","Desert","2","DoD","1","Alameda",296.897117476172
"1","Central_Coast","40","Desert","2","DoD","7","Contra Costa",424.77415309325
"1","Central_Coast","40","Desert","2","DoD","27","Monterey",9820.51154570249
"1","Central_Coast","40","Desert","2","DoD","35","San Benito",153.674837585045
"1","Central_Coast","40","Desert","2","DoD","39","San Joaquin",505.503481665423
"1","Central_Coast","40","Desert","2","DoD","40","San Luis Obispo",2507.50187231749
"1","Central_Coast","40","Desert","2","DoD","44","Santa Cruz",0.44478968910288
"1","Central_Coast","40","Desert","3","Easement","1","Alameda",358.500489416921
"1","Central_Coast","40","Desert","3","Easement","7","Contra Costa",391.859716099637
"1","Central_Coast","40","Desert","3","Easement","10","Fresno",755.697681785793
"1","Central_Coast","40","Desert","3","Easement","24","Merced",2412.98406338312
"1","Central_Coast","40","Desert","3","Easement","27","Monterey",5280.54318902939
"1","Central_Coast","40","Desert","3","Easement","28","Napa",1.1119742227572
"1","Central_Coast","40","Desert","3","Easement","35","San Benito",27.1321710352757
"1","Central_Coast","40","Desert","3","Easement","40","San Luis Obispo",10140.7601218566
"1","Central_Coast","40","Desert","3","Easement","41","San Mateo",1323.69411477017
