"reg_code","Region","lt_code","Land_Type","own_code","Ownership","cnty_code","County","area_ha"
"1","Central_Coast","30","Sparse","8","State_gov","27","Monterey",19.8
"1","Central_Coast","30","Sparse","8","State_gov","28","Napa",0.09
"1","Central_Coast","30","Sparse","8","State_gov","35","San Benito",19.53
"1","Central_Coast","30","Sparse","8","State_gov","39","San Joaquin",3.15
"1","Central_Coast","30","Sparse","8","State_gov","40","San Luis Obispo",200.43
"1","Central_Coast","30","Sparse","8","State_gov","41","San Mateo",20.34
"1","Central_Coast","30","Sparse","8","State_gov","42","Santa Barbara",0.99
"1","Central_Coast","30","Sparse","8","State_gov","43","Santa Clara",2.52
"1","Central_Coast","30","Sparse","8","State_gov","44","Santa Cruz",12.24
"1","Central_Coast","30","Sparse","8","State_gov","48","Solano",0.09
"1","Central_Coast","30","Sparse","8","State_gov","50","Stanislaus",3.06
"1","Central_Coast","30","Sparse","9","USFS_nonwild","27","Monterey",60.66
"1","Central_Coast","30","Sparse","9","USFS_nonwild","40","San Luis Obispo",71.46
"1","Central_Coast","30","Sparse","9","USFS_nonwild","42","Santa Barbara",271.17
"1","Central_Coast","30","Sparse","9","USFS_nonwild","56","Ventura",49.05
"1","Central_Coast","40","Desert","1","BLM","7","Contra Costa",1.17
"1","Central_Coast","40","Desert","1","BLM","10","Fresno",6342.48
"1","Central_Coast","40","Desert","1","BLM","15","Kern",1442.88
"1","Central_Coast","40","Desert","1","BLM","16","Kings",1116.81
"1","Central_Coast","40","Desert","1","BLM","24","Merced",313.65
"1","Central_Coast","40","Desert","1","BLM","27","Monterey",724.14
"1","Central_Coast","40","Desert","1","BLM","35","San Benito",1686.06
"1","Central_Coast","40","Desert","1","BLM","40","San Luis Obispo",12272.13
"1","Central_Coast","40","Desert","1","BLM","42","Santa Barbara",207.45
"1","Central_Coast","40","Desert","1","BLM","43","Santa Clara",7.29
"1","Central_Coast","40","Desert","1","BLM","50","Stanislaus",9.36
"1","Central_Coast","40","Desert","2","DoD","1","Alameda",120.15
"1","Central_Coast","40","Desert","2","DoD","7","Contra Costa",171.9
"1","Central_Coast","40","Desert","2","DoD","27","Monterey",3974.22
"1","Central_Coast","40","Desert","2","DoD","35","San Benito",62.19
"1","Central_Coast","40","Desert","2","DoD","39","San Joaquin",204.57
"1","Central_Coast","40","Desert","2","DoD","40","San Luis Obispo",1014.75
"1","Central_Coast","40","Desert","2","DoD","44","Santa Cruz",0.18
"1","Central_Coast","40","Desert","3","Easement","1","Alameda",145.08
"1","Central_Coast","40","Desert","3","Easement","7","Contra Costa",158.58
"1","Central_Coast","40","Desert","3","Easement","10","Fresno",305.82
"1","Central_Coast","40","Desert","3","Easement","24","Merced",976.5
"1","Central_Coast","40","Desert","3","Easement","27","Monterey",2136.96
"1","Central_Coast","40","Desert","3","Easement","28","Napa",0.45
"1","Central_Coast","40","Desert","3","Easement","35","San Benito",10.98
"1","Central_Coast","40","Desert","3","Easement","40","San Luis Obispo",4103.82
"1","Central_Coast","40","Desert","3","Easement","41","San Mateo",535.68
"1","Central_Coast","40","Desert","3","Easement","42","Santa Barbara",34.29
"1","Central_Coast","40","Desert","3","Easement","43","Santa Clara",2083.14
"1","Central_Coast","40","Desert","3","Easement","44","Santa Cruz",270.27
"1","Central_Coast","40","Desert","3","Easement","48","Solano",63.9
"1","Central_Coast","40","Desert","3","Easement","50","Stanislaus",492.12
"1","Central_Coast","40","Desert","4","Local_gov","1","Alameda",1367.82
"1","Central_Coast","40","Desert","4","Local_gov","7","Contra Costa",1179.45
"1","Central_Coast","40","Desert","4","Local_gov","10","Fresno",0.72
"1","Central_Coast","40","Desert","4","Local_gov","27","Monterey",841.59
"1","Central_Coast","40","Desert","4","Local_gov","28","Napa",0.72
"1","Central_Coast","40","Desert","4","Local_gov","35","San Benito",0.72
"1","Central_Coast","40","Desert","4","Local_gov","38","San Francisco",5.94
"1","Central_Coast","40","Desert","4","Local_gov","40","San Luis Obispo",570.06
"1","Central_Coast","40","Desert","4","Local_gov","41","San Mateo",1904.76
"1","Central_Coast","40","Desert","4","Local_gov","42","Santa Barbara",115.74
"1","Central_Coast","40","Desert","4","Local_gov","43","Santa Clara",2314.35
"1","Central_Coast","40","Desert","4","Local_gov","44","Santa Cruz",41.76
"1","Central_Coast","40","Desert","4","Local_gov","48","Solano",2.61
"1","Central_Coast","40","Desert","4","Local_gov","50","Stanislaus",77.76
"1","Central_Coast","40","Desert","5","NPS","7","Contra Costa",12.78
"1","Central_Coast","40","Desert","5","NPS","27","Monterey",154.71
"1","Central_Coast","40","Desert","5","NPS","35","San Benito",719.28
"1","Central_Coast","40","Desert","5","NPS","38","San Francisco",6.75
"1","Central_Coast","40","Desert","5","NPS","41","San Mateo",1016.91
"1","Central_Coast","40","Desert","6","Other_fed","1","Alameda",11.97
"1","Central_Coast","40","Desert","6","Other_fed","7","Contra Costa",5.85
"1","Central_Coast","40","Desert","6","Other_fed","10","Fresno",4.32
"1","Central_Coast","40","Desert","6","Other_fed","15","Kern",32.76
"1","Central_Coast","40","Desert","6","Other_fed","16","Kings",0.09
"1","Central_Coast","40","Desert","6","Other_fed","24","Merced",731.97
"1","Central_Coast","40","Desert","6","Other_fed","27","Monterey",408.51
"1","Central_Coast","40","Desert","6","Other_fed","35","San Benito",9.99
"1","Central_Coast","40","Desert","6","Other_fed","40","San Luis Obispo",654.39
"1","Central_Coast","40","Desert","6","Other_fed","41","San Mateo",0.09
"1","Central_Coast","40","Desert","6","Other_fed","42","Santa Barbara",401.49
"1","Central_Coast","40","Desert","6","Other_fed","43","Santa Clara",7.11
"1","Central_Coast","40","Desert","6","Other_fed","44","Santa Cruz",16.29
"1","Central_Coast","40","Desert","6","Other_fed","50","Stanislaus",0.27
"1","Central_Coast","40","Desert","7","Private","1","Alameda",6012.54
"1","Central_Coast","40","Desert","7","Private","7","Contra Costa",2390.94
"1","Central_Coast","40","Desert","7","Private","10","Fresno",20835.9
"1","Central_Coast","40","Desert","7","Private","15","Kern",12526.38
"1","Central_Coast","40","Desert","7","Private","16","Kings",16268.67
"1","Central_Coast","40","Desert","7","Private","24","Merced",7456.14
"1","Central_Coast","40","Desert","7","Private","27","Monterey",49643.19
"1","Central_Coast","40","Desert","7","Private","28","Napa",9.63
"1","Central_Coast","40","Desert","7","Private","35","San Benito",32584.41
"1","Central_Coast","40","Desert","7","Private","38","San Francisco",1.53
"1","Central_Coast","40","Desert","7","Private","39","San Joaquin",1699.92
"1","Central_Coast","40","Desert","7","Private","40","San Luis Obispo",64734.57
"1","Central_Coast","40","Desert","7","Private","41","San Mateo",3093.39
"1","Central_Coast","40","Desert","7","Private","42","Santa Barbara",9614.16
"1","Central_Coast","40","Desert","7","Private","43","Santa Clara",10543.77
"1","Central_Coast","40","Desert","7","Private","44","Santa Cruz",977.58
"1","Central_Coast","40","Desert","7","Private","48","Solano",101.34
"1","Central_Coast","40","Desert","7","Private","50","Stanislaus",4278.51
"1","Central_Coast","40","Desert","8","State_gov","1","Alameda",413.64
"1","Central_Coast","40","Desert","8","State_gov","7","Contra Costa",264.6
"1","Central_Coast","40","Desert","8","State_gov","10","Fresno",143.37
"1","Central_Coast","40","Desert","8","State_gov","15","Kern",10.71
"1","Central_Coast","40","Desert","8","State_gov","24","Merced",488.79
"1","Central_Coast","40","Desert","8","State_gov","27","Monterey",445.05
